Time resolution is 1 ps
Time: 0 | rd_en: 0 | fifo_dout: 00 | data_out: 00 | fire: 0 | data_out_clk: 0 | reading: 1 | read_count:   0
Loading FIFO with data
Time: 35000 | rd_en: 1 | fifo_dout: 00 | data_out: 00 | fire: 0 | data_out_clk: 0 | reading: 1 | read_count:   1
Time: 45000 | rd_en: 1 | fifo_dout: 00 | data_out: 00 | fire: 0 | data_out_clk: 1 | reading: 1 | read_count:   2
Time: 50000 | rd_en: 1 | fifo_dout: 01 | data_out: 00 | fire: 0 | data_out_clk: 0 | reading: 1 | read_count:   2
Time: 55000 | rd_en: 1 | fifo_dout: 01 | data_out: 01 | fire: 0 | data_out_clk: 1 | reading: 1 | read_count:   3
Time: 60000 | rd_en: 1 | fifo_dout: 02 | data_out: 01 | fire: 0 | data_out_clk: 0 | reading: 1 | read_count:   3
Time: 65000 | rd_en: 1 | fifo_dout: 02 | data_out: 02 | fire: 0 | data_out_clk: 1 | reading: 1 | read_count:   4
Time: 70000 | rd_en: 1 | fifo_dout: 03 | data_out: 02 | fire: 0 | data_out_clk: 0 | reading: 1 | read_count:   4
Time: 75000 | rd_en: 1 | fifo_dout: 03 | data_out: 03 | fire: 0 | data_out_clk: 1 | reading: 1 | read_count:   5
Time: 80000 | rd_en: 1 | fifo_dout: 04 | data_out: 03 | fire: 0 | data_out_clk: 0 | reading: 1 | read_count:   5
Time: 85000 | rd_en: 1 | fifo_dout: 04 | data_out: 04 | fire: 0 | data_out_clk: 1 | reading: 1 | read_count:   6
Time: 90000 | rd_en: 1 | fifo_dout: 05 | data_out: 04 | fire: 0 | data_out_clk: 0 | reading: 1 | read_count:   6
Time: 95000 | rd_en: 1 | fifo_dout: 05 | data_out: 05 | fire: 0 | data_out_clk: 1 | reading: 1 | read_count:   7
Time: 100000 | rd_en: 1 | fifo_dout: 06 | data_out: 05 | fire: 0 | data_out_clk: 0 | reading: 1 | read_count:   7
Time: 105000 | rd_en: 1 | fifo_dout: 06 | data_out: 06 | fire: 0 | data_out_clk: 1 | reading: 1 | read_count:   8
Time: 110000 | rd_en: 1 | fifo_dout: 07 | data_out: 06 | fire: 0 | data_out_clk: 0 | reading: 1 | read_count:   8
Time: 115000 | rd_en: 1 | fifo_dout: 07 | data_out: 07 | fire: 0 | data_out_clk: 1 | reading: 1 | read_count:   9
Time: 120000 | rd_en: 1 | fifo_dout: 08 | data_out: 07 | fire: 0 | data_out_clk: 0 | reading: 1 | read_count:   9
Time: 125000 | rd_en: 1 | fifo_dout: 08 | data_out: 08 | fire: 0 | data_out_clk: 1 | reading: 1 | read_count:  10
Time: 130000 | rd_en: 1 | fifo_dout: 09 | data_out: 08 | fire: 0 | data_out_clk: 0 | reading: 1 | read_count:  10
Time: 135000 | rd_en: 1 | fifo_dout: 09 | data_out: 09 | fire: 0 | data_out_clk: 1 | reading: 1 | read_count:  11
Time: 140000 | rd_en: 1 | fifo_dout: 0a | data_out: 09 | fire: 0 | data_out_clk: 0 | reading: 1 | read_count:  11
Time: 145000 | rd_en: 0 | fifo_dout: 0a | data_out: 09 | fire: 0 | data_out_clk: 0 | reading: 0 | read_count:   0
